!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-4-5' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:bigg.metabolite	!Identifiers:inchikey	!Identifiers:kegg.compound	!Identifiers:metanetx.chemical	!Identifiers:reactome	!Identifiers:sabiork.compound	!Identifiers:seed.compound	!Identifiers:kegg_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg.drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:seed_compound	!Identifiers:slm	!Identifiers:sabiork	!Identifiers:kegg_glycan	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound
M_his__L_c	L-Histidine	c	False	SBO:0000247	nan	False	C6H9N3O2	0	META:HIS	CHEBI:24598	HMDB03412	his__L	HNDVDQJCIGZPNO-YFKPBYRVSA-N	C00135	MNXM134	29612	81	cpd00572				D00032									
M_so4_c	Sulfate	c	False	SBO:0000247	nan	False	O4S	-2	META:HSO4	CHEBI:45696	HMDB01448	so4	QAOWNCQODCNURD-UHFFFAOYSA-L	C00059	MNXM58	427648	1759	cpd00048		cf4fcd19-f2cb-4d92-aa67-323762e3b269		D05963									
M_6pgl_c	6-phospho-D-glucono-1,5-lactone	c	False	SBO:0000247	nan	False	C6H9O9P	-2	META:D-6-P-GLUCONO-DELTA-LACTONE	CHEBI:12958	HMDB01127	6pgl	IJOJIVNDFQSGAB-SQOUGZDYSA-L	C01236	MNXM429	31467	1366	cpd00911													
M_2dda7p_c	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c	False	SBO:0000247	nan	False	C7H10O10P	-3	META:3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	CHEBI:29477		2dda7p	PJWIPEXIFFQAQZ-PUFIMZNGSA-K	C04691	MNXM1219	964909	1828	cpd02857													
M_sl2a6o_c	N-Succinyl-2-L-amino-6-oxoheptanedioate	c	False	SBO:0000247	nan	False	C11H12NO8	-3	META:N-SUCCINYL-2-AMINO-6-KETOPIMELATE	CHEBI:21789	HMDB12266	sl2a6o	SDVXSCSNVVZWDD-LURJTMIESA-K		MNXM1563			cpd02724	C04462												
M_gtp_c	GTP C10H12N5O14P3	c	False	SBO:0000247	nan	False	C10H12N5O14P3	-4	META:GTP	CHEBI:24451	HMDB01273	gtp	XKMLYUALXHKNFT-UUOKFMHZSA-J	C00044	MNXM51	29438	1282	cpd00038													
M_so4_p	Sulfate	p	False	SBO:0000247	nan	False	O4S	-2	META:HSO4	CHEBI:45696	HMDB01448	so4	QAOWNCQODCNURD-UHFFFAOYSA-L	C00059	MNXM58	427648	1759	cpd00048		cf4fcd19-f2cb-4d92-aa67-323762e3b269		D05963									
M_succ_c	Succinate	c	False	SBO:0000247	nan	False	C4H4O4	-2	META:SUC	CHEBI:30031	HMDB00254	succ	KDYFGRWQOYBRFD-UHFFFAOYSA-L	C00042	MNXM25	113536	1924	cpd00036		600b74d3-8fe5-426d-bedf-291175bd23e4	8fdfd425-4343-4bf2-8427-b2ffa57fdbd7		cc98aff0-7f64-4db4-9d59-de961c228496	LMFA01170043	6377658b-03f6-4fed-a5bf-ff0f2389b693						
M_aps_c	Adenosine 5'-phosphosulfate	c	False	SBO:0000247	nan	False	C10H12N5O10PS	-2	META:APS	CHEBI:40562	HMDB01003	aps	IRLPACMLTUPBCL-KQYNXXCUSA-L	C00224	MNXM287	174370	1803	cpd00193													
M_thdp_c	2,3,4,5-Tetrahydrodipicolinate	c	False	SBO:0000247	nan	False	C7H7NO4	-2	META:DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	CHEBI:13042	HMDB12289	thdp	CXMBCXQHOXUCEO-BYPYZUCNSA-L	C03972	MNXM480		6990	cpd02465													
M_cdp_c	CDP C9H12N3O11P2	c	False	SBO:0000247	nan	False	C9H12N3O11P2	-3	META:CDP	CHEBI:58069	HMDB01546	cdp	ZWIADYZPOWUWEW-XVFCMESISA-K		MNXM220			cpd00096	C00112												
M_glyc__R_e	(R)-Glycerate	e	False	SBO:0000247	nan	False	C3H5O4	-1	META:GLYCERATE	CHEBI:32398	HMDB00139	glyc__R	RBNPOMFGQQGHHO-UWTATZPHSA-M	C00258	MNXM189	6799497	1999	cpd00223		42fb796b-d2e8-4cf9-ba19-d4d843d29da0			6be053c1-d456-4f14-a62a-26231b127f45								
M_nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	c	False	SBO:0000247	nan	False	C21H26N7O17P3	-4	META:NADPH	CHEBI:44286	HMDB00799	nadph	ACFIXJIJDZMPPO-NNYOXOHSSA-J	C00005	MNXM6	194725	1262	cpd00005													
M_acglu_c	N-Acetyl-L-glutamate	c	False	SBO:0000247	nan	False	C7H9NO5	-2	META:ACETYL-GLU	CHEBI:21552		acglu	RFMMMVDNIPUKGG-YFKPBYRVSA-L	C00624	MNXM730	30471	2120	cpd00477													
M_3hddecACP_c	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C23H43N2O9PRS	-1		CHEBI:325		3hddecACP		C05757	MNXM27066			cpd11480						LMFA07060015							
M_2obut_c	2-Oxobutanoate	c	False	SBO:0000247	nan	False	C4H5O3	-1	META:2-OXOBUTANOATE	CHEBI:19743	HMDB06544	2obut	TYEYBOSBBBHJIV-UHFFFAOYSA-M	C00109	MNXM159	936714	1934	cpd00094		86a149cf-c031-463b-aa33-253fcbde268f	1d8dba15-23b7-4916-91ba-3b00be5e4e8b			LMFA01060002							
M_cddec5eACP_c	Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	c	False	SBO:0000247	nan	False	C23H41N2O8PRS	-1				cddec5eACP			MNXM163784																
M_glyc_c	Glycerol	c	False	SBO:0000247	nan	False	C3H8O3	0	META:GLYCEROL	CHEBI:131422	HMDB00131	glyc	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C00116	MNXM89612	76116	1303	cpd00100		2e8c8093-3269-46b3-be2e-f1df9fdde25c	48edd8a9-6a4a-4900-b0cf-97b1ccaa1125	D00028									
M_val__L_c	L-Valine	c	False	SBO:0000247	nan	False	C5H11NO2	0	META:VAL	CHEBI:46484	HMDB34366	val__L	KZSNJWFQEVHDMF-BYPYZUCNSA-N	C00183	MNXM199	29702	23113	cpd00156		65a4c231-5232-4f08-93e2-007eb0537f0e	b2ec1d47-f20f-4b19-9b15-ac1a3c2159c5	D00039		LMFA01100046							
M_pro__L_c	L-Proline	c	False	SBO:0000247	nan	False	C5H9NO2	0	META:PRO	CHEBI:58054	HMDB00162	pro__L	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C00148	MNXM114	113538	82	cpd15140				D00035									
M_cbasp_c	N-Carbamoyl-L-aspartate	c	False	SBO:0000247	nan	False	C5H6N2O5	-2	META:CARBAMYUL-L-ASPARTATE	CHEBI:15859	HMDB00828	cbasp	HLKXYZVTANABHZ-REOHCLBHSA-L	C00438	MNXM465	111628	2049	cpd00343													
M_mqn8_c	Menaquinone 8	c	False	SBO:0000247	nan	False	C51H72O2	0	META:CPD-9728	CHEBI:44027		mqn8	LXKDFTDVRVLXFY-WQWYCSGDSA-N		MNXM509			cpd15500													
M_lac__D_p	D-Lactate	p	False	SBO:0000247	nan	False	C3H5O3	-1	META:D-LACTATE	CHEBI:42105	HMDB00171	lac__D	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221													
M_malACP_c	Malonyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C14H22N2O10PRS	-2	META:MALONYL-ACP	CHEBI:17330		malACP		C01209	MNXM184			cpd11492										5446			
M_3hdecACP_c	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C21H39N2O9PRS	-1	META:Beta-hydroxydecanoyl-ACPs			3hdecACP		C04619	MNXM7127			cpd11482													
M_cdec3eACP_c	Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)	c	False	SBO:0000247	nan	False	C21H37N2O8PRS	-1				cdec3eACP			MNXM7186																
M_3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H45N2O9PRS	-1				3hcmrs7eACP			MNXM5390			cpd15368													
M_glu__L_p	L-Glutamate	p	False	SBO:0000247	nan	False	C5H8NO4	-1	META:GLT	CHEBI:29988	HMDB60475	glu__L	WHUUTDBJXJRKMK-VKHMYHEASA-M	C00025	MNXM89557	210382	2010	cpd19002				D04341									
M_3oddecACP_c	3-Oxododecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C23H41N2O9PRS	-1	META:3-oxo-dodecanoyl-ACPs	CHEBI:1637		3oddecACP		C05756	MNXM28933		8116	cpd11489						LMFA07060014							
M_glyc__R_p	(R)-Glycerate	p	False	SBO:0000247	nan	False	C3H5O4	-1	META:GLYCERATE	CHEBI:32398	HMDB00139	glyc__R	RBNPOMFGQQGHHO-UWTATZPHSA-M	C00258	MNXM189	6799497	1999	cpd00223		42fb796b-d2e8-4cf9-ba19-d4d843d29da0			6be053c1-d456-4f14-a62a-26231b127f45								
M_3ooctdACP_c	3-Oxooctadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H53N2O9PRS	-1				3ooctdACP			MNXM3491			cpd15377													
M_but2eACP_c	But-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C15H25N2O8PRS	-1				but2eACP		C04246	MNXM3229			cpd11465													
M_ddca_c	Dodecanoate (n-C12:0)	c	False	SBO:0000247	nan	False	C12H23O2	-1				ddca			MNXM162258																
M_pyr_c	Pyruvate	c	False	SBO:0000247	nan	False	C3H3O3	-1	META:PYRUVATE	CHEBI:15361	HMDB00243	pyr	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020		ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077							
M_dump_c	DUMP C9H11N2O8P	c	False	SBO:0000247	nan	False	C9H11N2O8P	-2	META:DUMP	CHEBI:10532	HMDB01409	dump	JSRLJPSBLDHEIO-SHYZEUOFSA-L	C00365	MNXM234	500742	1334	cpd00299													
M_acon_C_c	Cis-Aconitate	c	False	SBO:0000247	nan	False	C6H3O6	-3	META:CIS-ACONITATE	CHEBI:10482	HMDB00072	acon_C	GTZCVFVGUGFEME-IWQZZHSRSA-K	C00417	MNXM813		2043	cpd00331			643481e5-a35b-477e-8665-70f4dca66baa										
M_ocdcap_c	Octadecanoyl-phosphate (n-C18:0)	c	False	SBO:0000247	nan	False	C18H36O5P	-1				ocdcap			MNXM147528																
M_grxox_c	Glutaredoxin (oxidized)	c	False	SBO:0000247	nan	False	X	0				grxox			MNXM90831			cpd15480													
M_icit_c	Isocitrate	c	False	SBO:0000247	nan	False	C6H5O7	-3		CHEBI:24884	HMDB00193	icit	ODBLHEXUDAPZAU-UHFFFAOYSA-K		MNXM89661		2013	cpd00260	C00311												
M_lac__D_c	D-Lactate	c	False	SBO:0000247	nan	False	C3H5O3	-1	META:D-LACTATE	CHEBI:42105	HMDB00171	lac__D	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221													
M_nadh_c	Nicotinamide adenine dinucleotide - reduced	c	False	SBO:0000247	nan	False	C21H27N7O14P2	-2	META:NADH	CHEBI:13396	HMDB01487	nadh	BOPGDPNILDQYTO-NNYOXOHSSA-L	C00004	MNXM10	194697	38	cpd00004													
M_amp_c	AMP C10H12N5O7P	c	False	SBO:0000247	nan	False	C10H12N5O7P	-2	META:AMP	CHEBI:12056	HMDB00045	amp	UDMBCSSLTHHNCD-KQYNXXCUSA-L	C00020	MNXM14	164121	1273	cpd00018				D02769									
M_3php_c	3-Phosphohydroxypyruvate	c	False	SBO:0000247	nan	False	C3H2O7P	-3	META:3-P-HYDROXYPYRUVATE	CHEBI:30933	HMDB01024	3php	LFLUCDOSQPJJBE-UHFFFAOYSA-K	C03232	MNXM541	977329	2712	cpd02069													
M_dtdp_c	DTDP C10H13N2O11P2	c	False	SBO:0000247	nan	False	C10H13N2O11P2	-3	META:TDP	CHEBI:46061	HMDB01274	dtdp	UJLXYODCHAELLY-XLPZGREQSA-K	C00363	MNXM152		1333	cpd00297													
M_dhf_c	7,8-Dihydrofolate	c	False	SBO:0000247	nan	False	C19H19N7O6	-2	META:DIHYDROFOLATE	CHEBI:4564	HMDB01056	dhf	OZRNSSUDZOLUSN-LBPRGKRZSA-L	C00415	MNXM281	73604	1336	cpd00330													
M_for_c	Formate	c	False	SBO:0000247	nan	False	CH1O2	-1	META:CPD1G-1533	CHEBI:24082	HMDB00142	for	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511		1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919						
M_pi_e	Phosphate	e	False	SBO:0000247	nan	False	HO4P	-2	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	pi	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009		aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26						
M_3opalmACP_c	3-Oxohexadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C27H49N2O9PRS	-1	META:3-oxo-palmitoyl-ACPs	CHEBI:1639		3opalmACP		C05762	MNXM4345		8122	cpd11485						LMFA07060019							
M_3hcvac11eACP_c	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H53N2O9PRS	-1				3hcvac11eACP			MNXM6557			cpd15370													
M_coa_c	Coenzyme A	c	False	SBO:0000247	nan	False	C21H32N7O16P3S	-4	META:CO-A	CHEBI:13294	HMDB62184	coa	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	C00010	MNXM12	8939024	1265	cpd00010			19310484-6aa5-4dcf-b1da-855a8c21ecfd										
M_asn__L_c	L-Asparagine	c	False	SBO:0000247	nan	False	C4H8N2O3	0	META:ASN	CHEBI:32650	HMDB00168	asn__L	DCXYFEDJOCDNAF-REOHCLBHSA-N	C00152	MNXM147	379703	72	cpd15142													
M_udp_c	UDP C9H11N2O12P2	c	False	SBO:0000247	nan	False	C9H11N2O12P2	-3	META:UDP	CHEBI:27230	HMDB00295	udp	XCCTYIAWTASOJW-XVFCMESISA-K	C00015	MNXM17	158602	1269	cpd00014											G10619		
M_leu__L_c	L-Leucine	c	False	SBO:0000247	nan	False	C6H13NO2	0	META:LEU	CHEBI:15603	HMDB62203	leu__L	ROHFNLRQFUQHCH-YFKPBYRVSA-N	C00123	MNXM140	351964	69	cpd15143				D00030		LMFA01100048							
M_25aics_c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	c	False	SBO:0000247	nan	False	C13H15N4O12P	-4	META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	CHEBI:572	HMDB06274	25aics	NAQGHJTUZRHGAC-ZZZDFHIKSA-J	C04823	MNXM607	111399	1893	cpd19032													
M_3omrsACP_c	3-Oxotetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H45N2O9PRS	-1	META:3-oxo-myristoyl-ACPs	CHEBI:1655		3omrsACP		C05759	MNXM26095		8119	cpd11491						LMFA07060017							
M_acald_c	Acetaldehyde	c	False	SBO:0000247	nan	False	C2H4O	0	META:ACETALD	CHEBI:15343	HMDB00990	acald	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071		ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78						
M_3hmrsACP_c	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H47N2O9PRS	-1	META:R-3-hydroxymyristoyl-ACPs			3hmrsACP		C04688	MNXM7733			cpd11484													
M_pram_c	5-Phospho-beta-D-ribosylamine	c	False	SBO:0000247	nan	False	C5H11NO7P	-1	META:5-P-BETA-D-RIBOSYL-AMINE	CHEBI:58681	HMDB62576	pram	SKCBPEVYGOQGJN-TXICZTDVSA-M	C03090	MNXM90003	111292	1884	cpd01982													
M_ocdceap_c	Octadecanoyl-phosphate (n-C18:1)	c	False	SBO:0000247	nan	False	C18H34O5P	-1				ocdceap			MNXM147529																
M_3c4mop_c	3-Carboxy-4-methyl-2-oxopentanoate	c	False	SBO:0000247	nan	False	C7H8O5	-2	META:CPD-7100	CHEBI:1467	HMDB12149	3c4mop	HIIZAGQWABAMRR-BYPYZUCNSA-L		MNXM1602			cpd02605	C04236												
M_hcys__L_c	L-Homocysteine	c	False	SBO:0000247	nan	False	C4H9NO2S	0	META:HOMO-CYS	CHEBI:63072	HMDB00742	hcys__L	FFFHZYDWPBMWHY-UHFFFAOYSA-N	C00155	MNXM123	174369	2768	cpd00135													
M_mal__L_e	L-Malate	e	False	SBO:0000247	nan	False	C4H4O5	-2	META:MAL	CHEBI:11066	HMDB00156	mal__L	BJEPYKJPYRNKOW-REOHCLBHSA-L	C00149	MNXM98	113544	1918	cpd00130													
M_co2_c	CO2 CO2	c	False	SBO:0000247	nan	False	CO2	0	META:CARBON-DIOXIDE	CHEBI:13282	HMDB01967	co2	CURLTUGMZLYLDI-UHFFFAOYSA-N	C00011	MNXM13	159942	1266	cpd00011		2ec3da94-5f50-4525-81b1-5607c5c7a3d3	05f60af4-0a3f-4ead-9a29-33bb0f123379	D00004									
M_pi_p	Phosphate	p	False	SBO:0000247	nan	False	HO4P	-2	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	pi	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009		aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26						
M_fum_e	Fumarate	e	False	SBO:0000247	nan	False	C4H2O4	-2	META:FUM	CHEBI:24122	HMDB00134	fum	VZCYOOQTPOCHFL-OWOJBTEDSA-L	C00122	MNXM93	29586	1910	cpd00106			709035ec-4868-4de8-9095-06428f6be14b	D02308									
M_acald_e	Acetaldehyde	e	False	SBO:0000247	nan	False	C2H4O	0	META:ACETALD	CHEBI:15343	HMDB00990	acald	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071		ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78						
M_etoh_p	Ethanol	p	False	SBO:0000247	nan	False	C2H6O	0	META:ETOH	CHEBI:14222	HMDB00108	etoh	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363		56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062						
M_gthox_c	Oxidized glutathione	c	False	SBO:0000247	nan	False	C20H30N6O12S2	-2	META:OXIDIZED-GLUTATHIONE	CHEBI:14720	HMDB03337	gthox	YPZRWBKMTBYPTK-BJDJZHNGSA-L	C00127	MNXM151	3341331	1939	cpd00111				D00031									
M_gar_c	N1-(5-Phospho-D-ribosyl)glycinamide	c	False	SBO:0000247	nan	False	C7H14N2O8P	-1	META:5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	CHEBI:1983	HMDB02022	gar	OBQMLSFOUZUIOB-HJZCUYRDSA-M	C03838	MNXM463		1887	cpd02394													
M_3haACP_c	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C15H27N2O9PRS	-1	META:OH-ACYL-ACP	CHEBI:84648		3haACP		C01271	MNXM5861			cpd11836													8862371
M_3ooctACP_c	3-Oxooctanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C19H33N2O9PRS	-1	META:3-Oxo-octanoyl-ACPs	CHEBI:1646		3ooctACP		C05750	MNXM28031		8110	cpd11490						LMFA07060008							
M_3ocmrs7eACP_c	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H43N2O9PRS	-1				3ocmrs7eACP			MNXM6838			cpd15374													
M_acg5p_c	N-Acetyl-L-glutamyl 5-phosphate	c	False	SBO:0000247	nan	False	C7H9NO8P	-3	META:N-ACETYL-GLUTAMYL-P	CHEBI:57936	HMDB06456	acg5p	FCVIHFVSXHOPSW-YFKPBYRVSA-K	C04133	MNXM1384		1790	cpd02552													
M_4pasp_c	4-Phospho-L-aspartate	c	False	SBO:0000247	nan	False	C4H6NO7P	-2	META:L-BETA-ASPARTYL-P	CHEBI:57535	HMDB12250	4pasp	IXZNKTPIYKDIGG-REOHCLBHSA-L	C03082	MNXM1177		1733	cpd01977													
M_glu5p_c	L-Glutamate 5-phosphate	c	False	SBO:0000247	nan	False	C5H8NO7P	-2	META:L-GLUTAMATE-5-P	CHEBI:21312	HMDB01228	glu5p	PJRXVIJAERNUIP-VKHMYHEASA-L	C03287	MNXM1280		1742	cpd02097													
M_h2o_e	H2O H2O	e	False	SBO:0000247	nan	False	H2O	0	META:OH	CHEBI:44701	HMDB01039	h2o	XLYOFNOQVPJJNP-UHFFFAOYSA-N	C00001	MNXM2	351603	40	cpd15275		e7f34a8e-cded-4793-b6d5-792335b38636		D06322			969d0227-3069-4e44-9525-7ae7bad84170						
M_23dhdp_c	2,3-Dihydrodipicolinate	c	False	SBO:0000247	nan	False	C7H5NO4	-2	META:2-3-DIHYDRODIPICOLINATE	CHEBI:11421	HMDB12247	23dhdp	UWOCFOFVIBZJGH-YFKPBYRVSA-L	C03340	MNXM807		6562	cpd02120													
M_3mop_c	(S)-3-Methyl-2-oxopentanoate	c	False	SBO:0000247	nan	False	C6H9O3	-1	META:2-KETO-3-METHYL-VALERATE	CHEBI:15614		3mop	JVQYSWDUAOAHFM-BYPYZUCNSA-M	C00671	MNXM439		5174	cpd00508						LMFA01020275							
M_dgtp_c	DGTP C10H12N5O13P3	c	False	SBO:0000247	nan	False	C10H12N5O13P3	-4	META:DGTP	CHEBI:14076	HMDB01440	dgtp	HAAZLUGHYHWQIW-KVQBGUIXSA-J	C00286	MNXM344		1675	cpd00241													
M_rib__D_e	D-Ribose	e	False	SBO:0000247	nan	False	C5H10O5	0	META:D-Ribopyranose	CHEBI:21078	HMDB00283	rib__D	HMFHBZSHGGEWLO-SOOFDHNKSA-N	C00121	MNXM242		1653	cpd00105													
M_dcamp_c	N6-(1,2-Dicarboxyethyl)-AMP	c	False	SBO:0000247	nan	False	C14H14N5O11P	-4	META:ADENYLOSUCC	CHEBI:15919	HMDB00536	dcamp	OFBHPPMPBOJXRT-DPXQIYNJSA-J	C03794	MNXM565	35141	1886	cpd02375													
M_myrsACP_c	Myristoyl-ACP (n-C14:0ACP)	c	False	SBO:0000247	nan	False	C25H47N2O8PRS	-1				myrsACP			MNXM89779																
M_ACP_c	Acyl carrier protein	c	False	SBO:0000247	nan	False	C11H21N2O7PRS	-1	META:ACP	CHEBI:2458		ACP		C00229	MNXM925			cpd11493										2186			
M_palmACP_c	Palmitoyl-ACP (n-C16:0ACP)	c	False	SBO:0000247	nan	False	C27H51N2O8PRS	-1				palmACP			MNXM2026																
M_succoa_c	Succinyl-CoA	c	False	SBO:0000247	nan	False	C25H35N7O19P3S	-5	META:SUC-COA	CHEBI:26811	HMDB01022	succoa	VNOYUJKHFWYWIR-ITIYDSSPSA-I	C00091	MNXM92	70958	1931	cpd00078			359075fb-98d9-458d-ba82-db4020e753f3			LMFA07050370							
M_xyl__D_c	D-Xylose	c	False	SBO:0000247	nan	False	C5H10O5	0	META:D-Xylopyranose	CHEBI:53455	HMDB03763	xyl__D	SRBFZHDQGSBBOR-IOVATXLUSA-N	C00181	MNXM348	2090063		cpd00154				D06346									
M_for_e	Formate	e	False	SBO:0000247	nan	False	CH1O2	-1	META:CPD1G-1533	CHEBI:24082	HMDB00142	for	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511		1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919						

!!ObjTables TableID='reaction' Document='Escherichia_coli_iCH360' TableType='Reaction' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' objTablesVersion='1.0.1'
!ID	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible	!SBML:fbc:GeneAssociation	!SBML:fbc:LowerBound	!SBML:fbc:UpperBound	!Identifiers:biocyc	!Identifiers:kegg_reaction	!Identifiers:rhea	!Identifiers:bigg.reaction	!Identifiers:ec-code	!Identifiers:metanetx.reaction	!Identifiers:sabiork.reaction	!Identifiers:seed.reaction	!Identifiers:kegg.reaction	!Identifiers:reactome	!Identifiers:metanetx_reaction	!Identifiers:seed_reaction	!Identifiers:sabiork	!Identifiers:reactome_reaction
R_NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	M_atp_c + M_dgdp_c <=> M_adp_c + M_dgtp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	META:DGDPKIN-RXN	R01857	27693	NDPK5	2.7.4.6	MNXR96118	183	rxn01353						
R_SHK3Dr	Shikimate dehydrogenase	M_3dhsk_c + M_h_c + M_nadph_c <=> M_nadp_c + M_skm_c				SBO:0000176	True	(G_b3281 or G_b1692)	cobra_default_lb	cobra_default_ub	META:SHIKIMATE-5-DEHYDROGENASE-RXN		17740	SHK3Dr	1.1.1.282	MNXR104378	2351	rxn01740	R02413	R-MTU-964842				
R_NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	M_atp_c + M_dudp_c <=> M_adp_c + M_dutp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	META:DUDPKIN-RXN	R02331	28585	NDPK6	2.7.4.6	MNXR101938	421	rxn01678						
