!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-3-30' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg_metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchi_key	!Identifiers:kegg_compound	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound	!Identifiers:sabiork	!Identifiers:seed_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg_drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
M_6pgl_c	6-phospho-D-glucono-1,5-lactone	c	False	SBO:0000247	nan	False	C6H9O9P	-2	6pgl	META:D-6-P-GLUCONO-DELTA-LACTONE	CHEBI:12958	HMDB01127	IJOJIVNDFQSGAB-SQOUGZDYSA-L	C01236	MNXM429	31467	1366	cpd00911								
M_2dda7p_c	2-Dehydro-3-deoxy-D-arabino-heptonate 7-phosphate	c	False	SBO:0000247	nan	False	C7H10O10P	-3	2dda7p	META:3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P	CHEBI:29477		PJWIPEXIFFQAQZ-PUFIMZNGSA-K	C04691	MNXM1219	964909	1828	cpd02857								
M_sl2a6o_c	N-Succinyl-2-L-amino-6-oxoheptanedioate	c	False	SBO:0000247	nan	False	C11H12NO8	-3	sl2a6o	META:N-SUCCINYL-2-AMINO-6-KETOPIMELATE	CHEBI:21789	HMDB12266	SDVXSCSNVVZWDD-LURJTMIESA-K	C04462	MNXM1563			cpd02724								
M_gtp_c	GTP C10H12N5O14P3	c	False	SBO:0000247	nan	False	C10H12N5O14P3	-4	gtp	META:GTP	CHEBI:24451	HMDB01273	XKMLYUALXHKNFT-UUOKFMHZSA-J	C00044	MNXM51	29438	1282	cpd00038								
M_so4_p	Sulfate	p	False	SBO:0000247	nan	False	O4S	-2	so4	META:HSO4	CHEBI:45696	HMDB01448	QAOWNCQODCNURD-UHFFFAOYSA-L	C00059	MNXM58	427648	1759	cpd00048	cf4fcd19-f2cb-4d92-aa67-323762e3b269		D05963					
M_succ_c	Succinate	c	False	SBO:0000247	nan	False	C4H4O4	-2	succ	META:SUC	CHEBI:30031	HMDB00254	KDYFGRWQOYBRFD-UHFFFAOYSA-L	C00042	MNXM25	113536	1924	cpd00036	600b74d3-8fe5-426d-bedf-291175bd23e4	8fdfd425-4343-4bf2-8427-b2ffa57fdbd7		cc98aff0-7f64-4db4-9d59-de961c228496	LMFA01170043	6377658b-03f6-4fed-a5bf-ff0f2389b693		
M_aps_c	Adenosine 5'-phosphosulfate	c	False	SBO:0000247	nan	False	C10H12N5O10PS	-2	aps	META:APS	CHEBI:40562	HMDB01003	IRLPACMLTUPBCL-KQYNXXCUSA-L	C00224	MNXM287	174370	1803	cpd00193								
M_thdp_c	2,3,4,5-Tetrahydrodipicolinate	c	False	SBO:0000247	nan	False	C7H7NO4	-2	thdp	META:DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	CHEBI:13042	HMDB12289	CXMBCXQHOXUCEO-BYPYZUCNSA-L	C03972	MNXM480		6990	cpd02465								
M_cdp_c	CDP C9H12N3O11P2	c	False	SBO:0000247	nan	False	C9H12N3O11P2	-3	cdp	META:CDP	CHEBI:58069	HMDB01546	ZWIADYZPOWUWEW-XVFCMESISA-K	C00112	MNXM220			cpd00096								
M_glyc__R_e	(R)-Glycerate	e	False	SBO:0000247	nan	False	C3H5O4	-1	glyc__R	META:GLYCERATE	CHEBI:32398	HMDB00139	RBNPOMFGQQGHHO-UWTATZPHSA-M	C00258	MNXM189	6799497	1999	cpd00223	42fb796b-d2e8-4cf9-ba19-d4d843d29da0			6be053c1-d456-4f14-a62a-26231b127f45				
M_nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	c	False	SBO:0000247	nan	False	C21H26N7O17P3	-4	nadph	META:NADPH	CHEBI:44286	HMDB00799	ACFIXJIJDZMPPO-NNYOXOHSSA-J	C00005	MNXM6	194725	1262	cpd00005								
M_acglu_c	N-Acetyl-L-glutamate	c	False	SBO:0000247	nan	False	C7H9NO5	-2	acglu	META:ACETYL-GLU	CHEBI:21552		RFMMMVDNIPUKGG-YFKPBYRVSA-L	C00624	MNXM730	30471	2120	cpd00477								
M_3hddecACP_c	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C23H43N2O9PRS	-1	3hddecACP		CHEBI:325			C05757	MNXM27066			cpd11480					LMFA07060015			
M_2obut_c	2-Oxobutanoate	c	False	SBO:0000247	nan	False	C4H5O3	-1	2obut	META:2-OXOBUTANOATE	CHEBI:19743	HMDB06544	TYEYBOSBBBHJIV-UHFFFAOYSA-M	C00109	MNXM159	936714	1934	cpd00094	86a149cf-c031-463b-aa33-253fcbde268f	1d8dba15-23b7-4916-91ba-3b00be5e4e8b			LMFA01060002			
M_cddec5eACP_c	Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)	c	False	SBO:0000247	nan	False	C23H41N2O8PRS	-1	cddec5eACP						MNXM163784											
M_glyc_c	Glycerol	c	False	SBO:0000247	nan	False	C3H8O3	0	glyc	META:GLYCEROL	CHEBI:131422	HMDB00131	PEDCQBHIVMGVHV-UHFFFAOYSA-N	C00116	MNXM89612	76116	1303	cpd00100	2e8c8093-3269-46b3-be2e-f1df9fdde25c	48edd8a9-6a4a-4900-b0cf-97b1ccaa1125	D00028					
M_val__L_c	L-Valine	c	False	SBO:0000247	nan	False	C5H11NO2	0	val__L	META:VAL	CHEBI:46484	HMDB34366	KZSNJWFQEVHDMF-BYPYZUCNSA-N	C00183	MNXM199	29702	23113	cpd00156	65a4c231-5232-4f08-93e2-007eb0537f0e	b2ec1d47-f20f-4b19-9b15-ac1a3c2159c5	D00039		LMFA01100046			
M_pro__L_c	L-Proline	c	False	SBO:0000247	nan	False	C5H9NO2	0	pro__L	META:PRO	CHEBI:58054	HMDB00162	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C00148	MNXM114	113538	82	cpd15140			D00035					
M_cbasp_c	N-Carbamoyl-L-aspartate	c	False	SBO:0000247	nan	False	C5H6N2O5	-2	cbasp	META:CARBAMYUL-L-ASPARTATE	CHEBI:15859	HMDB00828	HLKXYZVTANABHZ-REOHCLBHSA-L	C00438	MNXM465	111628	2049	cpd00343								
M_mqn8_c	Menaquinone 8	c	False	SBO:0000247	nan	False	C51H72O2	0	mqn8	META:CPD-9728	CHEBI:44027		LXKDFTDVRVLXFY-WQWYCSGDSA-N		MNXM509			cpd15500								
M_lac__D_p	D-Lactate	p	False	SBO:0000247	nan	False	C3H5O3	-1	lac__D	META:D-LACTATE	CHEBI:42105	HMDB00171	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221								
M_malACP_c	Malonyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C14H22N2O10PRS	-2	malACP	META:MALONYL-ACP	CHEBI:17330			C01209	MNXM184		5446	cpd11492								
M_3hdecACP_c	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C21H39N2O9PRS	-1	3hdecACP	META:Beta-hydroxydecanoyl-ACPs				C04619	MNXM7127			cpd11482								
M_cdec3eACP_c	Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)	c	False	SBO:0000247	nan	False	C21H37N2O8PRS	-1	cdec3eACP						MNXM7186											
M_3hcmrs7eACP_c	(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H45N2O9PRS	-1	3hcmrs7eACP						MNXM5390			cpd15368								
M_glu__L_p	L-Glutamate	p	False	SBO:0000247	nan	False	C5H8NO4	-1	glu__L	META:GLT	CHEBI:29988	HMDB60475	WHUUTDBJXJRKMK-VKHMYHEASA-M	C00025	MNXM89557	210382	2010	cpd19002			D04341					
M_3oddecACP_c	3-Oxododecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C23H41N2O9PRS	-1	3oddecACP	META:3-oxo-dodecanoyl-ACPs	CHEBI:1637			C05756	MNXM28933		8116	cpd11489					LMFA07060014			
M_glyc__R_p	(R)-Glycerate	p	False	SBO:0000247	nan	False	C3H5O4	-1	glyc__R	META:GLYCERATE	CHEBI:32398	HMDB00139	RBNPOMFGQQGHHO-UWTATZPHSA-M	C00258	MNXM189	6799497	1999	cpd00223	42fb796b-d2e8-4cf9-ba19-d4d843d29da0			6be053c1-d456-4f14-a62a-26231b127f45				
M_3ooctdACP_c	3-Oxooctadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H53N2O9PRS	-1	3ooctdACP						MNXM3491			cpd15377								
M_but2eACP_c	But-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C15H25N2O8PRS	-1	but2eACP					C04246	MNXM3229			cpd11465								
M_ddca_c	Dodecanoate (n-C12:0)	c	False	SBO:0000247	nan	False	C12H23O2	-1	ddca						MNXM162258											
M_pyr_c	Pyruvate	c	False	SBO:0000247	nan	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_dump_c	DUMP C9H11N2O8P	c	False	SBO:0000247	nan	False	C9H11N2O8P	-2	dump	META:DUMP	CHEBI:10532	HMDB01409	JSRLJPSBLDHEIO-SHYZEUOFSA-L	C00365	MNXM234	500742	1334	cpd00299								
M_acon_C_c	Cis-Aconitate	c	False	SBO:0000247	nan	False	C6H3O6	-3	acon_C	META:CIS-ACONITATE	CHEBI:10482	HMDB00072	GTZCVFVGUGFEME-IWQZZHSRSA-K	C00417	MNXM813		2043	cpd00331		643481e5-a35b-477e-8665-70f4dca66baa						
M_ocdcap_c	Octadecanoyl-phosphate (n-C18:0)	c	False	SBO:0000247	nan	False	C18H36O5P	-1	ocdcap						MNXM147528											
M_grxox_c	Glutaredoxin (oxidized)	c	False	SBO:0000247	nan	False	X	0	grxox						MNXM90831			cpd15480								
M_icit_c	Isocitrate	c	False	SBO:0000247	nan	False	C6H5O7	-3	icit		CHEBI:24884	HMDB00193	ODBLHEXUDAPZAU-UHFFFAOYSA-K	C00311	MNXM89661		2013	cpd00260								
M_lac__D_c	D-Lactate	c	False	SBO:0000247	nan	False	C3H5O3	-1	lac__D	META:D-LACTATE	CHEBI:42105	HMDB00171	JVTAAEKCZFNVCJ-UWTATZPHSA-M	C00256	MNXM285		2284	cpd00221								
M_nadh_c	Nicotinamide adenine dinucleotide - reduced	c	False	SBO:0000247	nan	False	C21H27N7O14P2	-2	nadh	META:NADH	CHEBI:13396	HMDB01487	BOPGDPNILDQYTO-NNYOXOHSSA-L	C00004	MNXM10	194697	38	cpd00004								
M_amp_c	AMP C10H12N5O7P	c	False	SBO:0000247	nan	False	C10H12N5O7P	-2	amp	META:AMP	CHEBI:12056	HMDB00045	UDMBCSSLTHHNCD-KQYNXXCUSA-L	C00020	MNXM14	164121	1273	cpd00018			D02769					
M_3php_c	3-Phosphohydroxypyruvate	c	False	SBO:0000247	nan	False	C3H2O7P	-3	3php	META:3-P-HYDROXYPYRUVATE	CHEBI:30933	HMDB01024	LFLUCDOSQPJJBE-UHFFFAOYSA-K	C03232	MNXM541	977329	2712	cpd02069								
M_dtdp_c	DTDP C10H13N2O11P2	c	False	SBO:0000247	nan	False	C10H13N2O11P2	-3	dtdp	META:TDP	CHEBI:46061	HMDB01274	UJLXYODCHAELLY-XLPZGREQSA-K	C00363	MNXM152		1333	cpd00297								
M_dhf_c	7,8-Dihydrofolate	c	False	SBO:0000247	nan	False	C19H19N7O6	-2	dhf	META:DIHYDROFOLATE	CHEBI:4564	HMDB01056	OZRNSSUDZOLUSN-LBPRGKRZSA-L	C00415	MNXM281	73604	1336	cpd00330								
M_for_c	Formate	c	False	SBO:0000247	nan	False	CH1O2	-1	for	META:CPD1G-1533	CHEBI:24082	HMDB00142	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511	1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919		
M_pi_e	Phosphate	e	False	SBO:0000247	nan	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_3opalmACP_c	3-Oxohexadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C27H49N2O9PRS	-1	3opalmACP	META:3-oxo-palmitoyl-ACPs	CHEBI:1639			C05762	MNXM4345		8122	cpd11485					LMFA07060019			
M_3hcvac11eACP_c	(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H53N2O9PRS	-1	3hcvac11eACP						MNXM6557			cpd15370								
M_coa_c	Coenzyme A	c	False	SBO:0000247	nan	False	C21H32N7O16P3S	-4	coa	META:CO-A	CHEBI:13294	HMDB62184	RGJOEKWQDUBAIZ-IBOSZNHHSA-J	C00010	MNXM12	8939024	1265	cpd00010		19310484-6aa5-4dcf-b1da-855a8c21ecfd						
M_asn__L_c	L-Asparagine	c	False	SBO:0000247	nan	False	C4H8N2O3	0	asn__L	META:ASN	CHEBI:32650	HMDB00168	DCXYFEDJOCDNAF-REOHCLBHSA-N	C00152	MNXM147	379703	72	cpd15142								
M_udp_c	UDP C9H11N2O12P2	c	False	SBO:0000247	nan	False	C9H11N2O12P2	-3	udp	META:UDP	CHEBI:27230	HMDB00295	XCCTYIAWTASOJW-XVFCMESISA-K	C00015	MNXM17	158602	1269	cpd00014								G10619
M_leu__L_c	L-Leucine	c	False	SBO:0000247	nan	False	C6H13NO2	0	leu__L	META:LEU	CHEBI:15603	HMDB62203	ROHFNLRQFUQHCH-YFKPBYRVSA-N	C00123	MNXM140	351964	69	cpd15143			D00030		LMFA01100048			
M_25aics_c	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	c	False	SBO:0000247	nan	False	C13H15N4O12P	-4	25aics	META:P-RIBOSYL-4-SUCCCARB-AMINOIMIDAZOLE	CHEBI:572	HMDB06274	NAQGHJTUZRHGAC-ZZZDFHIKSA-J	C04823	MNXM607	111399	1893	cpd19032								
M_3omrsACP_c	3-Oxotetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H45N2O9PRS	-1	3omrsACP	META:3-oxo-myristoyl-ACPs	CHEBI:1655			C05759	MNXM26095		8119	cpd11491					LMFA07060017			
M_acald_c	Acetaldehyde	c	False	SBO:0000247	nan	False	C2H4O	0	acald	META:ACETALD	CHEBI:15343	HMDB00990	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071	ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78		
M_3hmrsACP_c	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H47N2O9PRS	-1	3hmrsACP	META:R-3-hydroxymyristoyl-ACPs				C04688	MNXM7733			cpd11484								
M_pram_c	5-Phospho-beta-D-ribosylamine	c	False	SBO:0000247	nan	False	C5H11NO7P	-1	pram	META:5-P-BETA-D-RIBOSYL-AMINE	CHEBI:58681	HMDB62576	SKCBPEVYGOQGJN-TXICZTDVSA-M	C03090	MNXM90003	111292	1884	cpd01982								
M_ocdceap_c	Octadecanoyl-phosphate (n-C18:1)	c	False	SBO:0000247	nan	False	C18H34O5P	-1	ocdceap						MNXM147529											
M_3c4mop_c	3-Carboxy-4-methyl-2-oxopentanoate	c	False	SBO:0000247	nan	False	C7H8O5	-2	3c4mop	META:CPD-7100	CHEBI:1467	HMDB12149	HIIZAGQWABAMRR-BYPYZUCNSA-L	C04236	MNXM1602			cpd02605								
M_hcys__L_c	L-Homocysteine	c	False	SBO:0000247	nan	False	C4H9NO2S	0	hcys__L	META:HOMO-CYS	CHEBI:63072	HMDB00742	FFFHZYDWPBMWHY-UHFFFAOYSA-N	C00155	MNXM123	174369	2768	cpd00135								
M_mal__L_e	L-Malate	e	False	SBO:0000247	nan	False	C4H4O5	-2	mal__L	META:MAL	CHEBI:11066	HMDB00156	BJEPYKJPYRNKOW-REOHCLBHSA-L	C00149	MNXM98	113544	1918	cpd00130								
M_co2_c	CO2 CO2	c	False	SBO:0000247	nan	False	CO2	0	co2	META:CARBON-DIOXIDE	CHEBI:13282	HMDB01967	CURLTUGMZLYLDI-UHFFFAOYSA-N	C00011	MNXM13	159942	1266	cpd00011	2ec3da94-5f50-4525-81b1-5607c5c7a3d3	05f60af4-0a3f-4ead-9a29-33bb0f123379	D00004					
M_pi_p	Phosphate	p	False	SBO:0000247	nan	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_fum_e	Fumarate	e	False	SBO:0000247	nan	False	C4H2O4	-2	fum	META:FUM	CHEBI:24122	HMDB00134	VZCYOOQTPOCHFL-OWOJBTEDSA-L	C00122	MNXM93	29586	1910	cpd00106		709035ec-4868-4de8-9095-06428f6be14b	D02308					
M_acald_e	Acetaldehyde	e	False	SBO:0000247	nan	False	C2H4O	0	acald	META:ACETALD	CHEBI:15343	HMDB00990	IKHGUXGNUITLKF-UHFFFAOYSA-N	C00084	MNXM75	113745	1292	cpd00071	ee2c714d-ff9d-4df8-b343-48c1ec76ef0e	78f3645f-408e-4001-9dda-a52ea62a15d4		9c8865b2-a99d-42e4-a042-c88504f04b51		47aa8e53-36ae-4be3-987c-c1cfab66af78		
M_etoh_p	Ethanol	p	False	SBO:0000247	nan	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_gthox_c	Oxidized glutathione	c	False	SBO:0000247	nan	False	C20H30N6O12S2	-2	gthox	META:OXIDIZED-GLUTATHIONE	CHEBI:14720	HMDB03337	YPZRWBKMTBYPTK-BJDJZHNGSA-L	C00127	MNXM151	3341331	1939	cpd00111			D00031					
M_gar_c	N1-(5-Phospho-D-ribosyl)glycinamide	c	False	SBO:0000247	nan	False	C7H14N2O8P	-1	gar	META:5-PHOSPHO-RIBOSYL-GLYCINEAMIDE	CHEBI:1983	HMDB02022	OBQMLSFOUZUIOB-HJZCUYRDSA-M	C03838	MNXM463		1887	cpd02394								
M_3haACP_c	(3R)-3-Hydroxyacyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C15H27N2O9PRS	-1	3haACP	META:OH-ACYL-ACP	CHEBI:84648			C01271	MNXM5861	8862371		cpd11836								
M_3ooctACP_c	3-Oxooctanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C19H33N2O9PRS	-1	3ooctACP	META:3-Oxo-octanoyl-ACPs	CHEBI:1646			C05750	MNXM28031		8110	cpd11490					LMFA07060008			
M_3ocmrs7eACP_c	3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C25H43N2O9PRS	-1	3ocmrs7eACP						MNXM6838			cpd15374								
M_acg5p_c	N-Acetyl-L-glutamyl 5-phosphate	c	False	SBO:0000247	nan	False	C7H9NO8P	-3	acg5p	META:N-ACETYL-GLUTAMYL-P	CHEBI:57936	HMDB06456	FCVIHFVSXHOPSW-YFKPBYRVSA-K	C04133	MNXM1384		1790	cpd02552								
M_4pasp_c	4-Phospho-L-aspartate	c	False	SBO:0000247	nan	False	C4H6NO7P	-2	4pasp	META:L-BETA-ASPARTYL-P	CHEBI:57535	HMDB12250	IXZNKTPIYKDIGG-REOHCLBHSA-L	C03082	MNXM1177		1733	cpd01977								
M_glu5p_c	L-Glutamate 5-phosphate	c	False	SBO:0000247	nan	False	C5H8NO7P	-2	glu5p	META:L-GLUTAMATE-5-P	CHEBI:21312	HMDB01228	PJRXVIJAERNUIP-VKHMYHEASA-L	C03287	MNXM1280		1742	cpd02097								
M_h2o_e	H2O H2O	e	False	SBO:0000247	nan	False	H2O	0	h2o	META:OH	CHEBI:44701	HMDB01039	XLYOFNOQVPJJNP-UHFFFAOYSA-N	C00001	MNXM2	351603	40	cpd15275	e7f34a8e-cded-4793-b6d5-792335b38636		D06322			969d0227-3069-4e44-9525-7ae7bad84170		
M_23dhdp_c	2,3-Dihydrodipicolinate	c	False	SBO:0000247	nan	False	C7H5NO4	-2	23dhdp	META:2-3-DIHYDRODIPICOLINATE	CHEBI:11421	HMDB12247	UWOCFOFVIBZJGH-YFKPBYRVSA-L	C03340	MNXM807		6562	cpd02120								
M_3mop_c	(S)-3-Methyl-2-oxopentanoate	c	False	SBO:0000247	nan	False	C6H9O3	-1	3mop	META:2-KETO-3-METHYL-VALERATE	CHEBI:15614		JVQYSWDUAOAHFM-BYPYZUCNSA-M	C00671	MNXM439		5174	cpd00508					LMFA01020275			
M_dgtp_c	DGTP C10H12N5O13P3	c	False	SBO:0000247	nan	False	C10H12N5O13P3	-4	dgtp	META:DGTP	CHEBI:14076	HMDB01440	HAAZLUGHYHWQIW-KVQBGUIXSA-J	C00286	MNXM344		1675	cpd00241								
M_rib__D_e	D-Ribose	e	False	SBO:0000247	nan	False	C5H10O5	0	rib__D	META:D-Ribopyranose	CHEBI:21078	HMDB00283	HMFHBZSHGGEWLO-SOOFDHNKSA-N	C00121	MNXM242		1653	cpd00105								
M_dcamp_c	N6-(1,2-Dicarboxyethyl)-AMP	c	False	SBO:0000247	nan	False	C14H14N5O11P	-4	dcamp	META:ADENYLOSUCC	CHEBI:15919	HMDB00536	OFBHPPMPBOJXRT-DPXQIYNJSA-J	C03794	MNXM565	35141	1886	cpd02375								
M_myrsACP_c	Myristoyl-ACP (n-C14:0ACP)	c	False	SBO:0000247	nan	False	C25H47N2O8PRS	-1	myrsACP						MNXM89779											
M_ACP_c	Acyl carrier protein	c	False	SBO:0000247	nan	False	C11H21N2O7PRS	-1	ACP	META:ACP	CHEBI:2458			C00229	MNXM925		2186	cpd11493								
M_palmACP_c	Palmitoyl-ACP (n-C16:0ACP)	c	False	SBO:0000247	nan	False	C27H51N2O8PRS	-1	palmACP						MNXM2026											
M_succoa_c	Succinyl-CoA	c	False	SBO:0000247	nan	False	C25H35N7O19P3S	-5	succoa	META:SUC-COA	CHEBI:26811	HMDB01022	VNOYUJKHFWYWIR-ITIYDSSPSA-I	C00091	MNXM92	70958	1931	cpd00078		359075fb-98d9-458d-ba82-db4020e753f3			LMFA07050370			
M_xyl__D_c	D-Xylose	c	False	SBO:0000247	nan	False	C5H10O5	0	xyl__D	META:D-Xylopyranose	CHEBI:53455	HMDB03763	SRBFZHDQGSBBOR-IOVATXLUSA-N	C00181	MNXM348	2090063		cpd00154			D06346					
M_for_e	Formate	e	False	SBO:0000247	nan	False	CH1O2	-1	for	META:CPD1G-1533	CHEBI:24082	HMDB00142	BDAGIHXWWSANSR-UHFFFAOYSA-M	C00058	MNXM39	6801451	1285	cpd22511	1d077cf2-3f9f-4163-aa49-0fca1b2b3ab3	09c1ad08-016e-4477-8840-b97a031eae23		bf16ab32-cb3c-4427-a65a-089ab754823e		34fe3cd9-9b0b-46b0-a1c5-8a66509f1919		

!!ObjTables TableID='reaction' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Reaction' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Reaction' name='Reaction' objTablesVersion='1.0.1'
!ID	!Name	!ReactionFormula	!Location	!Regulator	!KineticLaw	!SBOTerm	!IsReversible	!SBML:fbc:GeneAssociation	!SBML:fbc:LowerBound	!SBML:fbc:UpperBound	!Identifiers:bigg_reaction	!Identifiers:biocyc	!Identifiers:ec_code	!Identifiers:kegg_reaction	!Identifiers:metanetx_reaction	!Identifiers:rhea	!Identifiers:sabiork	!Identifiers:seed_reaction	!Identifiers:reactome_reaction
R_NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	M_atp_c + M_dgdp_c <=> M_adp_c + M_dgtp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	NDPK5	META:DGDPKIN-RXN	2.7.4.6	R01857	MNXR96118	27693	183	rxn01353	
R_SHK3Dr	Shikimate dehydrogenase	M_3dhsk_c + M_h_c + M_nadph_c <=> M_nadp_c + M_skm_c				SBO:0000176	True	(G_b3281 or G_b1692)	cobra_default_lb	cobra_default_ub	SHK3Dr	META:SHIKIMATE-5-DEHYDROGENASE-RXN	1.1.1.282	R02413	MNXR104378	17740	2351	rxn01740	R-MTU-964842
R_NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	M_atp_c + M_dudp_c <=> M_adp_c + M_dutp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	NDPK6	META:DUDPKIN-RXN	2.7.4.6	R02331	MNXR101938	28585	421	rxn01678	
R_NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	M_atp_c + M_dadp_c <=> M_adp_c + M_datp_c				SBO:0000176	True	(G_b0474 or G_b2518)	cobra_default_lb	cobra_default_ub	NDPK8	META:DADPKIN-RXN	2.7.4.6	R01137	MNXR101940	27676		rxn00839	
R_DHORTS	Dihydroorotase	M_dhor__S_c + M_h2o_c <=> M_cbasp_c + M_h_c				SBO:0000176	True	G_b1062	cobra_default_lb	cobra_default_ub	DHORTS	META:DIHYDROOROT-RXN	3.5.2.3	R01993	MNXR97428	24297	399	rxn01465	R-PFA-73571
R_OMPDC	Orotidine-5'-phosphate decarboxylase	M_h_c + M_orot5p_c <=> M_co2_c + M_ump_c				SBO:0000176	False	G_b1281	cobra_0_bound	cobra_default_ub	OMPDC	META:OROTPDECARB-RXN	4.1.1.23	R00965	MNXR102190	11598	463	rxn00710	R-XTR-73564
